SIGLA,RAMO,Créditos,CICLO,CRR,CÓDIGO BANNER,BLOQUE ACADÉMICO,TRACK/ÁREA,N° VERSIONES,RESOLUCIÓN ÚLTIMA,VERSIÓN,PERIODO DE VIGENCIA,SUB-ÁREA,TIPO CURSO,TIPO OPTATIVIDAD,Alumnos del programa 2012,Alumnos que aprobaron el curso 2012,Alumnos que falta por aprobar 2012,Alumnos del programa 2013,Alumnos que aprobaron el curso 2013,Alumnos que falta por aprobar 2013,Alumnos del programa 2014,Alumnos que aprobaron el curso 2014,Alumnos que falta por aprobar 2014,Alumnos del programa 2015,Alumnos que aprobaron el curso 2015,Alumnos que falta por aprobar 2015,Alumnos del programa 2016,Alumnos que aprobaron el curso 2016,Alumnos que falta por aprobar 2016,Alumnos del programa 2017,Alumnos que aprobaron el curso 2017,Alumnos que falta por aprobar 2017,Alumnos del programa 2018,Alumnos que aprobaron el curso 2018,Alumnos que falta por aprobar 2018,201520,201522,201620,201622,201720,201722,201820,201822,201520,201522,201620,201622,201720,201722,201820,201822,SEMESTRE
IIC1253,Matemáticas Discretas,10,1,CRR2013,M102,Major en Computación e Ingeniería de Software,No aplica,2,119/2016,Vs.01,201320,No aplica,Mínimo,No aplica,57,55,2,54,49,5,41,38,3,0,0,0,0,0,0,0,0,0,152,142,10,95,79,118,79,133,110,150,192,1,1,1,1,1,1,1,2,4
IIC2233,Programación Avanzada,10,1,CRR2013,M102,Major en Computación e Ingeniería de Software,No aplica,2,119/2016,Vs.01,201320,No aplica,Mínimo,No aplica,57,56,1,54,54,0,41,39,2,0,0,0,0,0,0,0,0,0,152,149,3,53,117,110,137,143,160,223,288,2,2,2,3,3,3,4,3,4
IIC2133,Estructuras de Datos y Algoritmos,10,1,CRR2013,M102,Major en Computación e Ingeniería de Software,No aplica,2,119/2016,Vs.01,201320,No aplica,Mínimo,No aplica,57,48,9,54,38,16,41,20,21,0,0,0,0,0,0,0,0,0,152,106,46,38,32,42,84,80,75,95,125,1,1,1,1,1,1,1,1,7
IIC2143,Ingeniería de Software,10,1,CRR2013,M102,Major en Computación e Ingeniería de Software,No aplica,2,119/2016,Vs.01,201320,No aplica,Mínimo,No aplica,57,54,3,54,49,5,41,33,8,0,0,0,0,0,0,0,0,0,152,136,16,32,48,49,58,74,97,112,131,1,1,1,1,1,1,2,2,7
IIC2343,Arquitectura de Computadores,10,1,CRR2013,M102,Major en Computación e Ingeniería de Software,No aplica,2,119/2016,Vs.01,201320,No aplica,Mínimo,No aplica,57,56,1,54,49,5,41,35,6,0,0,0,0,0,0,0,0,0,152,140,12,59,50,64,75,104,86,57,100,1,1,1,1,1,1,1,1,5
IIC2713,Sistemas de Información,10,1,CRR2013,M102,Major en Computación e Ingeniería de Software,No aplica,2,119/2016,Vs.01,201320,No aplica,Mínimo,No aplica,57,56,1,54,52,2,41,36,5,0,0,0,0,0,0,0,0,0,152,144,8,80,90,115,171,191,206,180,190,2,1,2,2,3,3,2,2,6
IIC2413,Bases de Datos,10,1,CRR2013,M102,Major en Computación e Ingeniería de Software,No aplica,2,119/2016,Vs.01,201320,No aplica,Mínimo,No aplica,57,54,3,54,52,2,41,37,4,0,0,0,0,0,0,0,0,0,152,143,9,57,58,72,66,93,78,110,116,1,1,1,1,1,1,1,1,6
IIC2333,Sistemas Operativos y Redes,10,1,CRR2013,M102,Major en Computación e Ingeniería de Software,No aplica,2,119/2016,Vs.01,201320,No aplica,Mínimo,No aplica,57,52,5,54,45,9,41,24,17,0,0,0,0,0,0,0,0,0,152,121,31,50,49,40,41,80,58,77,53,1,1,1,1,1,1,1,1,6
IIC2613,Inteligencia Artificial,10,1,CRR2013,M102,Major en Computación e Ingeniería de Software,No aplica,2,119/2016,Vs.01,201320,No aplica,Mínimo,No aplica,57,46,11,54,40,14,41,18,23,0,0,0,0,0,0,0,0,0,152,104,48,0,27,0,66,0,95,50,73,0,1,0,1,0,1,1,1,8
IIC2154,Proyecto de Especialidad ,10,1,CRR2013,M102,Major en Computación e Ingeniería de Software,No aplica,2,119/2016,Vs.01,201320,No aplica,Mínimo,No aplica,57,47,10,54,27,27,41,1,40,0,0,0,0,0,0,0,0,0,152,75,77,19,27,45,49,52,43,65,55,1,1,1,1,1,1,1,1,8
IIC1253,Matemáticas Discretas,10,1,CRR2013,M133,Major en Computación e Ingeniería de Software - Track Computación,Track Computación,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,2,1,1,17,17,0,16,9,7,76,43,33,45,0,45,0,0,0,156,70,86,95,79,118,79,133,110,150,192,1,1,1,1,1,1,1,2,5
IIC2233,Programación Avanzada,10,1,CRR2013,M133,Major en Computación e Ingeniería de Software - Track Computación,Track Computación,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,2,2,0,17,17,0,16,15,1,76,67,9,45,4,41,0,0,0,156,105,51,53,117,110,137,143,160,223,288,2,2,2,3,3,3,4,3,4
IIC2133,Estructuras de Datos y Algoritmos,10,1,CRR2013,M133,Major en Computación e Ingeniería de Software - Track Computación,Track Computación,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,2,0,2,17,12,5,16,4,12,76,3,73,45,0,45,0,0,0,156,19,137,38,32,42,84,80,75,95,125,1,1,1,1,1,1,1,1,5
IIC2143,Ingeniería de Software,10,1,CRR2013,M133,Major en Computación e Ingeniería de Software - Track Computación,Track Computación,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,2,1,1,17,14,3,16,9,7,76,22,54,45,0,45,0,0,0,156,46,110,32,48,49,58,74,97,112,131,1,1,1,1,1,1,2,2,6
IIC2413,Bases de Datos,10,1,CRR2013,M133,Major en Computación e Ingeniería de Software - Track Computación,Track Computación,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,2,2,0,17,16,1,16,11,5,76,31,45,45,0,45,0,0,0,156,60,96,57,58,72,66,93,78,110,116,1,1,1,1,1,1,1,1,7
IIC2513,Tecnologías y Aplicaciones Web,10,1,CRR2013,M133,Major en Computación e Ingeniería de Software - Track Computación,Track Computación,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,2,1,1,17,12,5,16,2,14,76,1,75,45,0,45,0,0,0,156,16,140,27,26,35,22,47,38,67,65,1,1,1,1,1,1,1,1,7
IIC2154,Proyecto de Especialidad ,10,1,CRR2013,M133,Major en Computación e Ingeniería de Software - Track Computación,Track Computación,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,2,0,2,17,5,12,16,0,16,76,1,75,45,0,45,0,0,0,156,6,150,19,27,45,49,52,43,65,55,1,1,1,1,1,1,1,1,8
IIC2343,Arquitectura de Computadores,10,1,CRR2013,M133,Major en Computación e Ingeniería de Software - Track Computación,Track Computación,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,2,2,0,17,15,2,16,11,5,76,13,63,45,0,45,0,0,0,156,41,115,59,50,64,75,104,86,57,100,1,1,1,1,1,1,1,1,6
IIC2333,Sistemas Operativos y Redes,10,1,CRR2013,M133,Major en Computación e Ingeniería de Software - Track Computación,Track Computación,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,2,0,2,17,10,7,16,3,13,76,5,71,45,0,45,0,0,0,156,18,138,50,49,40,41,80,58,77,53,1,1,1,1,1,1,1,1,7
IIC2613,Inteligencia Artificial,10,1,CRR2013,M133,Major en Computación e Ingeniería de Software - Track Computación,Track Computación,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,2,0,2,17,11,6,16,7,9,76,4,72,45,0,45,0,0,0,156,22,134,0,27,0,66,0,95,50,73,0,1,0,1,0,1,1,1,6
IIC1253,Matemáticas Discretas,10,1,CRR2013,M137,Major en Computación e Ingeniería de Software - Track Ingeniería de Software,Track Ingeniería de Software,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,4,3,1,7,4,3,14,6,8,11,4,7,35,0,35,0,0,0,71,17,54,95,79,118,79,133,110,150,192,1,1,1,1,1,1,1,2,5
IIC2233,Programación Avanzada,10,1,CRR2013,M137,Major en Computación e Ingeniería de Software - Track Ingeniería de Software,Track Ingeniería de Software,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,4,3,1,7,6,1,14,13,1,11,8,3,35,5,30,0,0,0,71,35,36,53,117,110,137,143,160,223,288,2,2,2,3,3,3,4,3,4
IIC2133,Estructuras de Datos y Algoritmos,10,1,CRR2013,M137,Major en Computación e Ingeniería de Software - Track Ingeniería de Software,Track Ingeniería de Software,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,4,2,2,7,3,4,14,1,13,11,0,11,35,0,35,0,0,0,71,6,65,38,32,42,84,80,75,95,125,1,1,1,1,1,1,1,1,5
IIC2143,Ingeniería de Software,10,1,CRR2013,M137,Major en Computación e Ingeniería de Software - Track Ingeniería de Software,Track Ingeniería de Software,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,4,3,1,7,5,2,14,12,2,11,4,7,35,0,35,0,0,0,71,24,47,32,48,49,58,74,97,112,131,1,1,1,1,1,1,2,2,6
IIC2413,Bases de Datos,10,1,CRR2013,M137,Major en Computación e Ingeniería de Software - Track Ingeniería de Software,Track Ingeniería de Software,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,4,3,1,7,5,2,14,12,2,11,3,8,35,0,35,0,0,0,71,23,48,57,58,72,66,93,78,110,116,1,1,1,1,1,1,1,1,7
IIC2513,Tecnologías y Aplicaciones Web,10,1,CRR2013,M137,Major en Computación e Ingeniería de Software - Track Ingeniería de Software,Track Ingeniería de Software,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,4,3,1,7,1,6,14,3,11,11,0,11,35,0,35,0,0,0,71,7,64,27,26,35,22,47,38,67,65,1,1,1,1,1,1,1,1,7
IIC2154,Proyecto de Especialidad ,10,1,CRR2013,M137,Major en Computación e Ingeniería de Software - Track Ingeniería de Software,Track Ingeniería de Software,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,4,2,2,7,2,5,14,0,14,11,0,11,35,0,35,0,0,0,71,4,67,19,27,45,49,52,43,65,55,1,1,1,1,1,1,1,1,8
IIC2713,Sistemas de Información,10,1,CRR2013,M137,Major en Computación e Ingeniería de Software - Track Ingeniería de Software,Track Ingeniería de Software,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,4,4,0,7,5,2,14,11,3,11,2,9,35,0,35,0,0,0,71,22,49,80,90,115,171,191,206,180,190,2,1,2,2,3,3,2,2,6
IIC2113,Diseño Detallado de Software,10,1,CRR2013,M137,Major en Computación e Ingeniería de Software - Track Ingeniería de Software,Track Ingeniería de Software,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,4,2,2,7,0,7,14,0,14,11,0,11,35,0,35,0,0,0,71,2,69,0,26,0,20,0,27,0,71,0,1,0,1,0,1,0,1,7
IIC2173,Arquitectura de Sistemas de Software,10,1,CRR2013,M137,Major en Computación e Ingeniería de Software - Track Ingeniería de Software,Track Ingeniería de Software,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,4,2,2,7,1,6,14,0,14,11,0,11,35,0,35,0,0,0,71,3,68,0,21,0,21,0,27,0,60,0,1,0,1,0,1,0,1,7
IIC1253,Matemáticas Discretas,10,1,CRR2013,M138,Major en Computación e Ingeniería de Software - Track Tecnologías de la Información,Track Tecnologías de la Información,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,1,1,0,3,0,3,12,3,9,9,3,6,25,0,25,0,0,0,50,7,43,95,79,118,79,133,110,150,192,1,1,1,1,1,1,1,2,5
IIC2233,Programación Avanzada,10,1,CRR2013,M138,Major en Computación e Ingeniería de Software - Track Tecnologías de la Información,Track Tecnologías de la Información,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,1,1,0,3,3,0,12,11,1,9,5,4,25,3,22,0,0,0,50,23,27,53,117,110,137,143,160,223,288,2,2,2,3,3,3,4,3,4
IIC2133,Estructuras de Datos y Algoritmos,10,1,CRR2013,M138,Major en Computación e Ingeniería de Software - Track Tecnologías de la Información,Track Tecnologías de la Información,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,1,1,0,3,0,3,12,2,10,9,0,9,25,0,25,0,0,0,50,3,47,38,32,42,84,80,75,95,125,1,1,1,1,1,1,1,1,5
IIC2143,Ingeniería de Software,10,1,CRR2013,M138,Major en Computación e Ingeniería de Software - Track Tecnologías de la Información,Track Tecnologías de la Información,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,1,1,0,3,1,2,12,4,8,9,2,7,25,0,25,0,0,0,50,8,42,32,48,49,58,74,97,112,131,1,1,1,1,1,1,2,2,6
IIC2413,Bases de Datos,10,1,CRR2013,M138,Major en Computación e Ingeniería de Software - Track Tecnologías de la Información,Track Tecnologías de la Información,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,1,1,0,3,2,1,12,6,6,9,3,6,25,0,25,0,0,0,50,12,38,57,58,72,66,93,78,110,116,1,1,1,1,1,1,1,1,7
IIC2513,Tecnologías y Aplicaciones Web,10,1,CRR2013,M138,Major en Computación e Ingeniería de Software - Track Tecnologías de la Información,Track Tecnologías de la Información,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,1,1,0,3,0,3,12,3,9,9,1,8,25,0,25,0,0,0,50,5,45,27,26,35,22,47,38,67,65,1,1,1,1,1,1,1,1,7
IIC2154,Proyecto de Especialidad ,10,1,CRR2013,M138,Major en Computación e Ingeniería de Software - Track Tecnologías de la Información,Track Tecnologías de la Información,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,1,0,1,3,0,3,12,0,12,9,1,8,25,0,25,0,0,0,50,1,49,19,27,45,49,52,43,65,55,1,1,1,1,1,1,1,1,8
IIC2713,Sistemas de Información,10,1,CRR2013,M138,Major en Computación e Ingeniería de Software - Track Tecnologías de la Información,Track Tecnologías de la Información,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,1,1,0,3,3,0,12,10,2,9,5,4,25,0,25,0,0,0,50,19,31,80,90,115,171,191,206,180,190,2,1,2,2,3,3,2,2,6
IIC2733,Modelos de Procesos,10,1,CRR2013,M138,Major en Computación e Ingeniería de Software - Track Tecnologías de la Información,Track Tecnologías de la Información,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,1,0,1,3,1,2,12,5,7,9,0,9,25,0,25,0,0,0,50,6,44,27,17,22,0,31,18,40,39,1,1,1,0,1,1,1,1,7
IIC2764,"Conocimiento, Cultura y Tecnología ",10,1,CRR2013,M138,Major en Computación e Ingeniería de Software - Track Tecnologías de la Información,Track Tecnologías de la Información,2,119/2016,Vs.02,201320,No aplica,Mínimo,No aplica,1,1,0,3,0,3,12,1,11,9,1,8,25,0,25,0,0,0,50,3,47,0,43,0,34,0,49,0,86,0,1,0,1,0,1,0,1,6
IIC2233,Programación Avanzada,10,1,CRR2013,M132,"Major en Ingeniería, Diseño e Innovación - Track en Ingeniería",Track Ingeniería,1,134/2016,Vs.01,201320,Área Tecnologías de la Información y Computación,Mínimo,Cursar 20 de un área de lista 1,28,11,17,19,9,10,22,6,16,26,3,23,21,0,21,0,0,0,116,29,87,53,117,110,137,143,160,223,288,2,2,2,3,3,3,4,3,8-Jul
IIC2143,Ingeniería de Software,10,1,CRR2013,M132,"Major en Ingeniería, Diseño e Innovación - Track en Ingeniería",Track Ingeniería,1,134/2016,Vs.01,201320,Área Tecnologías de la Información y Computación,Mínimo,Cursar 20 de un área de lista 1,28,10,18,19,5,14,22,1,21,26,0,26,21,0,21,0,0,0,116,16,100,32,48,49,58,74,97,112,131,1,1,1,1,1,1,2,2,8-Jul
IIC2233,Programación Avanzada,10,1,CRR2013,M127,"Major en Ingeniería, Diseño e Innovación - Track Ingeniería y Diseño",Track Ingeniería y Diseño,1,134/2016,Vs.01,201320,No aplica,Optativo,Elegir 10 entre Lista 1,11,2,9,9,2,7,11,3,8,11,1,10,7,0,7,0,0,0,49,8,41,53,117,110,137,143,160,223,288,2,2,2,3,3,3,4,3,8-Jul
IIC1253,Matemáticas Discretas,10,1,CRR2013,M713,Major en Investigación Operativa,No aplica,2,124/2016,Vs.01,201320,No aplica,Optativo,Elegir 30 entre lista 3,182,38,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,38,144,95,79,118,79,133,110,150,192,1,1,1,1,1,1,1,2,6/7/2008
IIC2713,Sistemas de Información,10,1,CRR2013,M713,Major en Investigación Operativa,No aplica,2,124/2016,Vs.01,201320,No aplica,Optativo,Elegir 30 entre lista 3,182,174,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,174,8,80,90,115,171,191,206,180,190,2,1,2,2,3,3,2,2,6/7/2008
IIC1253,Matemáticas Discretas,10,1,CRR2013,M109,Major en Investigación Operativa,No aplica,2,124/2016,Vs.02,201320,No aplica,Optativo,Elegir 20 entre lista 3,23,4,19,262,48,214,241,39,202,224,9,215,245,0,245,0,0,0,995,100,895,95,79,118,79,133,110,150,192,1,1,1,1,1,1,1,2,8-Jul
IIC2713,Sistemas de Información,10,1,CRR2013,M109,Major en Investigación Operativa,No aplica,2,124/2016,Vs.02,201320,No aplica,Optativo,Elegir 20 entre lista 3,23,22,1,262,222,40,241,178,63,224,37,187,245,1,244,0,0,0,995,460,535,80,90,115,171,191,206,180,190,2,1,2,2,3,3,2,2,8-Jul
IIC2233,Programación Avanzada,10,1,CRR2013,M738,Major en Sistemas Autónomos y Robóticos,No aplica,1,111/2012,Vs.01,201320,No aplica,Mínimo,No aplica,22,20,2,9,7,2,11,10,1,19,6,13,11,0,11,0,0,0,72,43,29,53,117,110,137,143,160,223,288,2,2,2,3,3,3,4,3,5
IIC2613,Inteligencia Artificial,10,1,CRR2013,M738,Major en Sistemas Autónomos y Robóticos,No aplica,1,111/2012,Vs.01,201320,No aplica,Optativo,Elegir 10 entre Lista 2,22,3,19,9,2,7,11,4,7,19,0,19,11,0,11,0,0,0,72,9,63,0,27,0,66,0,95,50,73,0,1,0,1,0,1,1,1,7
IIC1253,Matemáticas Discretas,10,1,CRR2013,M738,Major en Sistemas Autónomos y Robóticos,No aplica,1,111/2012,Vs.01,201320,No aplica,Optativo,Elegir 10 entre lista 3,22,6,16,9,4,5,11,2,9,19,1,18,11,0,11,0,0,0,72,13,59,95,79,118,79,133,110,150,192,1,1,1,1,1,1,1,2,7
IIC2685,Robótica Móvil ,10,1,CRR2013,M738,Major en Sistemas Autónomos y Robóticos,No aplica,1,111/2012,Vs.01,201320,No aplica,Optativo,Elegir 10 entre lista 4,22,3,19,9,2,7,11,1,10,19,0,19,11,0,11,0,0,0,72,6,66,0,0,12,0,13,0,7,0,0,0,1,0,1,0,1,0,8
IIC1253,Matemáticas Discretas,10,1,CRR2013,M114,Major en Sistemas de Transporte - Área 3: Manejo de Bases de Datos,Área 3: Manejo de Bases de Datos,1,129/2016,Vs.01,201320,No aplica,Optativo,Elegir 20 de un área entre lista 1,1,0,1,3,0,3,1,0,1,3,1,2,2,0,2,0,0,0,10,1,9,95,79,118,79,133,110,150,192,1,1,1,1,1,1,1,2,8-Jul
IIC2133,Estructuras de Datos y Algoritmos,10,1,CRR2013,M114,Major en Sistemas de Transporte - Área 3: Manejo de Bases de Datos,Área 3: Manejo de Bases de Datos,1,129/2016,Vs.01,201320,No aplica,Optativo,Elegir 20 de un área entre lista 1,1,1,0,3,0,3,1,0,1,3,0,3,2,0,2,0,0,0,10,1,9,38,32,42,84,80,75,95,125,1,1,1,1,1,1,1,1,8-Jul
IIC2233,Programación Avanzada,10,1,CRR2013,M114,Major en Sistemas de Transporte - Área 3: Manejo de Bases de Datos,Área 3: Manejo de Bases de Datos,1,129/2016,Vs.01,201320,No aplica,Optativo,Elegir 20 de un área entre lista 1,1,1,0,3,2,1,1,0,1,3,0,3,2,0,2,0,0,0,10,3,7,53,117,110,137,143,160,223,288,2,2,2,3,3,3,4,3,8-Jul
IIC2413,Bases de Datos,10,1,CRR2013,M114,Major en Sistemas de Transporte - Área 3: Manejo de Bases de Datos,Área 3: Manejo de Bases de Datos,1,129/2016,Vs.01,201320,No aplica,Optativo,Elegir 20 de un área entre lista 1,1,1,0,3,1,2,1,0,1,3,0,3,2,0,2,0,0,0,10,2,8,57,58,72,66,93,78,110,116,1,1,1,1,1,1,1,1,8-Jul
IIC2115,Programación Como Herramienta para Ingeniería,10,1,CRR2013,M114,Major en Sistemas de Transporte - Área 3: Manejo de Bases de Datos,Área 3: Manejo de Bases de Datos,1,129/2016,Vs.01,201320,No aplica,Optativo,Elegir 20 de un área entre lista 1,1,0,1,3,0,3,1,1,0,3,0,3,2,0,2,0,0,0,10,1,9,70,54,25,27,52,50,76,97,1,1,1,1,1,1,1,1,8-Jul
IIC1253,Matemáticas Discretas,10,1,CRR2013,M764,Major en Ingeniería Matemática-Track 3: Teoría de la Computación,Track 3: Teoría de la Computación,2,135/2016,Vs.01,201320,No aplica,Optativo,Elegir 30 de un track entre lista 1,5,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,95,79,118,79,133,110,150,192,1,1,1,1,1,1,1,2,5/6/2007
IIC2213,Lógica para Ciencias de la Computación,10,1,CRR2013,M764,Major en Ingeniería Matemática-Track 3: Teoría de la Computación,Track 3: Teoría de la Computación,2,135/2016,Vs.01,201320,No aplica,Optativo,"(optativo entre IIC2213 y MAT2415), Elegir 30 de un track entre lista 1",5,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,14,6,15,0,28,8,30,0,1,1,1,0,1,1,1,0,5/6/2007
IIC2233,Programación Avanzada,10,1,CRR2013,M764,Major en Ingeniería Matemática-Track 3: Teoría de la Computación,Track 3: Teoría de la Computación,2,135/2016,Vs.01,201320,No aplica,Optativo,Elegir 30 de un track entre lista 1,5,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,53,117,110,137,143,160,223,288,2,2,2,3,3,3,4,3,5/6/2007
IIC2223,Teoría de Autómatas y Lenguajes Formales,10,1,CRR2013,M764,Major en Ingeniería Matemática-Track 3: Teoría de la Computación,Track 3: Teoría de la Computación,2,135/2016,Vs.01,201320,No aplica,Optativo,Elegir 30 de un track entre lista 1,5,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,15,0,20,0,24,0,46,0,1,0,1,0,1,0,1,6
IIC3242,Complejidad Computacional,10,1,CRR2013,M764,Major en Ingeniería Matemática-Track 3: Teoría de la Computación,Track 3: Teoría de la Computación,2,135/2016,Vs.01,201320,No aplica,Optativo,Elegir 30 de un track entre lista 1,5,3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,11,0,8,0,7,0,0,0,1,0,1,0,1,0,7-May
IIC3263,Teoría de Modelos Finitos,10,1,CRR2013,M764,Major en Ingeniería Matemática-Track 3: Teoría de la Computación,Track 3: Teoría de la Computación,2,135/2016,Vs.01,201320,No aplica,Optativo,Elegir 30 de un track entre lista 1,5,1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,5,0,0,0,0,9,0,0,1,0,0,0,0,1,0,0,6
IIC2133,Estructuras de Datos y Algoritmos,10,1,CRR2013,M764,Major en Ingeniería Matemática-Track 3: Teoría de la Computación,Track 3: Teoría de la Computación,2,135/2016,Vs.01,201320,No aplica,Optativo,Elegir 30 de un track entre lista 1,5,1,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5,38,32,42,84,80,75,95,125,1,1,1,1,1,1,1,1,5/6/2007
